Date,Description,Amount
2025-05-16,UBER TRIP TORONTO,-22.50
2025-05-16,AMAZON MKTPLACE PMTS,-88.77
2025-05-17,NETFLIX.COM,-15.49
2025-05-18,LOBLAWS GROCERY,-93.20
2025-05-18,TIM HORTONS 0456,-5.85
2025-05-19,HYDRO ONE PAYMENT,-101.33
2025-05-20,PAYROLL DEPOSIT,+2500.00
2025-05-20,BEST BUY ONLINE,-299.99
2025-05-21,SPOTIFY FAMILY PLAN,-14.99
2025-05-22,CINEPLEX VIP CINEMA,-27.00
2025-05-22,TRANSFER FROM SAVINGS,+100.00
2025-05-23,FRESHCO MARKET,-67.42
2025-05-23,WEALTHSIMPLE DEPOSIT,+150.00
2025-05-24,LCBO PURCHASE,-59.30
2025-05-25,SHELL GAS STATION,-48.00
2025-05-25,PAYPAL EBAY PURCHASE,-103.12
